OBJECTID,CaseID,City,State,Country,Number_of_Victim_Fatalities,Total_Number_of_Fatalities,Number_of_Victims_Injured,Total_Number_of_Victims,Date,Day_of_Week,Average_Shooter_Age,Shooter_Sex,Shooter_Race,Type_of_Gun_General,Number_of_Shotguns,Number_of_Rifles,Number of Handguns,Total_Number_of_Guns,Number_of_Automatic_Guns,Number_of_Semi_Automatic_Guns,Fate_of_Shooter_at_the_scene,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s-General,Possible Motive - General,History_of_Mental_Illness_General,Military_Experience,Class,lat,log
186,190,Charlotte ,North Carolina,US,3,3,0,3,15-02-24,Tuesday,19,Male,Some other race,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Social,Drug use,No,Unknown,GD,35.226354,-80.836788
187,184,Tyrone,Missouri,US,7,8,1,8,15-02-26,Friday,36,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family/Social,Unknown,No,Unknown,SPK,37.204442,-91.876583
188,191,Birmingham,Alabama,US,1,1,2,3,15-02-27,Friday,18,Male,Black American or African American,Handgun,0,0,2,2,Unknown,Unknown,Arrested,Not applicable,No,Park/Wildness,Place of recreation,Social,Social dispute,No,Unknown,MS,33.5282865,-86.79550448
189,192,Tarboro,North Carolina,US,3,4,0,3,15-02-28,Saturday,40,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Deceased,Killed,No,"Retail/Wholesale/Services facility
Residential home/Neighborhood","Place of business/employment
Place of residency",Social,Unknown,Yes,Unknown,MS,35.90434471,-77.55639964
190,194,Brookhaven,Mississippi,US,2,2,3,5,15-03-13,Friday,32,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Social,Social dispute,Unknown,Unknown,MS,31.58036482,-90.44323475
191,195,Cottonwood, Alabama,US,2,3,1,3,15-03-15,Sunday,45,Male,White American or European American,Rifle,0,1,0,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,No,Unknown,MS,31.0549687,-85.30100084
192,196,Mesa,Arizona,US,1,1,5,6,15-03-18,Wednesday,41,Male,White American or European American,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Social,Drug use/Financial difficulties,No,Unknown,GD,33.42268696,-111.8163202
193,197,Little Water,New Mexico,US,1,2,2,3,15-03-19,Thursday,24,Male,Unknown,Rifle,0,1,0,1,Unknown,Unknown,Deceased,Killed,No,Street/Highway,None,Government,Domestic dispute,Unknown,Unknown,MS,36.44329,-108.723281
194,198,Panama City Beach,Florida,US,0,0,7,7,15-03-28,Saturday,22,Male,Black American or African American,Handgun,0,0,1,1,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of recreation,General public,Social dispute,No,Unknown,MS,30.22540212,-85.87371301
195,199,Tulsa,Oklahoma,US,3,4,0,3,15-03-30,Monday,42,Male,Asian American,Handgun,0,0,1,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Unknown,Unknown,Unknown,MS,36.13543238,-95.91316117
196,200,Daytona Beach,Florida,US,0,0,4,4,15-04-03,Friday,23,Male,Black American or African American,Handgun,0,0,1,1,0,1,Escaped,Not applicable,No,Residential home/Neighborhood,Place of recreation,Students/Classmates/Teacher,Rejection,No,Unknown,MS,29.19313443,-81.10173014
197,201,Indianapolis,Indiana,US,0,0,5,5,15-04-05,Sunday,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Escaped,Not applicable,No,Residential home/Neighborhood,Place of residency,Social,Drug use/Financial difficulties,No,Unknown,GD,39.77725479,-86.14635359
198,202,Rome, Georgia,US,1,1,3,4,15-04-07,Tuesday,Unknown,Male,Black American or African American,Handgun,0,0,1,1,Unknown,Unknown,Arrested/Escaped,Not applicable,No,Residential home/Neighborhood,Place of residency,General public,Financial difficulties,No,Unknown,MS,34.26779152,-85.18822422
199,203,Phoenix,Arizona,US,4,5,0,4,15-04-16,Thursday,50,Male,Some other race,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,Unknown,Unknown,MM,33.57145875,-112.0904854
200,204,Killeen,Texas,US,2,2,3,5,15-04-21,Tuesday,35,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Social,Unknown,Unknown,Unknown,MS,31.07925506,-97.73392317
201,205,Gates,New York,US,1,1,6,7,15-04-25,Saturday,31,Male,Black American or African American,Handgun,0,0,1,1,Unknown,Unknown,Arrested,Not applicable,No,Restaurant/Cafe,Place of recreation,Social,Unknown,Unknown,Unknown,MS,43.15693027,-77.69300856
202,207,Milwaukee,Wisconsin,US,2,2,3,5,15-05-01,Friday,24,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,No,Unknown,MS,43.06420322,-87.96724385
203,208,Menasha,Wisconsin,US,3,4,1,4,15-05-03,Sunday,27,Male,Unknown,Handgun,0,0,2,2,Unknown,1,Deceased,Suicide,No,Park/Wildness,Place of recreation,General public,Domestic dispute,Yes,Yes,MS,44.20455909,-88.4484585
204,218,Newark,New Jersey,US,1,1,3,4,15-05-10,Sunday,18,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Street/Highway,Place of recreation,General public,Social dispute,Unknown,Unknown,MS,40.73169648,-74.18417699
205,210,Tucson,Arizona,US,4,5,0,4,15-05-12,Tuesday,25,Male,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Mental illness,Yes,Unknown,MM,32.15358905,-110.9677647
206,211,Decatur,Illinois,US,1,1,4,5,15-05-25,Monday,18,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Entertainment venue,Place of recreation,Social/General public,Unknown,Unknown,Unknown,MS,39.85566372,-88.93346458
207,212,Cleveland,Ohio,US,2,3,1,3,15-05-31,Sunday,30,Male,Unknown,Handgun,0,0,1,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,"Romantic partner, and her family",Domestic dispute,Unknown,Unknown,MS,41.47657557,-81.68051502
208,213,Conyers,Georgia,US,2,3,2,4,15-05-31,Sunday,36,Male,White American or European American,Multiple guns,0,1,1,2,Unknown,Unknown,Deceased,Killed,No,"Retail/Wholesale/Services facility
Residential home/Neighborhood","Place of business/employment
Place of residency","Family/General public 
",Unknown,Unknown,Unknown,MS,33.66086267,-84.02688527
209,214,Deer Lodge,Montana,US,4,5,0,4,15-06-07,Sunday,59,Male,White American or European American,Handgun,0,0,1,1,1,0,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,Unknown,Unknown,MM,46.39761858,-112.7329333
210,219,Miami Gardens,Florida,US,0,0,4,4,15-06-16,Tuesday,21,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of recreation,Social,Social dispute,Unknown,Unknown,MS,25.94326707,-80.24253243
211,215,Charleston,South Carolina,US,9,9,0,9,15-06-17,Wednesday,21,Male,White American or European American,Handgun,0,0,1,1,1,0,Arrested,Not applicable,No,Place of worship,None,Racial/Religious group,Race,Unknown,Unknown,MM,32.8129729,-79.96693995
212,216,Morven,North Carolina,US,0,0,4,4,15-06-20,Saturday,32,Male,Black American or African American/Unknown,Multiple guns,Unknown,Unknown,1,Unknown,Unknown,Unknown,Escaped,Not applicable,No,Entertainment venue,Place of recreation,General public,Unknown,Unknown,Unknown,MS,34.86379864,-79.9996781
213,221,River Forest,Illinois,US,1,2,3,4,15-07-12,Sunday,24,Male,Unknown,Shotgun,1,0,0,1,Unknown,Unknown,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,Family/Government,Unknown,Unknown,Unknown,MS,41.89499946,-87.81941392
214,222,Chattanooga,Tennessee,US,4,5,3,7,15-07-16,Thursday,24,Male,White American or European American,Rifle,0,1,0,1,0,1,Deceased,Killed,No,Military facility,None,Government,Unknown,Yes,Unknown,MM,35.09318123,-85.23676751
215,223,Suwanee,Georgia,US,3,4,1,4,15-07-22,Wednesday,32,Male,White American or European American,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,Unknown,Unknown,MS,34.05057545,-84.06872262
216,224,Lafayette,Louisiana,US,2,3,9,11,15-07-23,Thursday,59,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Entertainment venue,Place of recreation,General public,Gender,Yes,Unknown,MS,30.21233538,-92.0316453
217,225,Houston,Texas,US,8,8,0,8,15-08-08,Saturday,48,Male,Black American or African American,Handgun,0,0,1,1,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Former domestic partner and her family,Domestic dispute,Unknown,Unknown,MM,29.79705548,-95.36763856
218,226,Rochester,New York,US,3,3,4,7,15-08-19,Wednesday,20.5,Male,Black American or African American,Rifle,0,1,0,1,0,1,Escaped,Not applicable,No,Street/Highway,Place of recreation,General public,Unknown,Unknown,Unknown,GD,43.1696837,-77.614337
219,227,Roanoke,Virginia,US,2,3,1,3,15-08-26,Wednesday,41,Male,Black American or African American,Handgun,0,0,1,1,Unknown,Unknown,Deceased,Suicide,No,Retail/Wholesale/Services facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Unknown,Unknown,MS,37.27823366,-79.95816104
220,228,Bristol,Tennessee,US,3,3,1,4,15-08-29,Saturday,19,Male,White American or European American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Family,Unknown,Unknown,Yes,MS,36.55605824,-82.21429551
221,229,Clearbrook,Minnesota,US,4,5,0,4,15-09-10,Thursday,45,Male,White American or European American,Shotgun,1,0,0,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Residential home/Neighborhood,Family,Multiple motives,Yes,Unknown,MM,47.69618799,-95.42844094
222,230,Platte, South Dakota,US,5,6,0,5,15-09-17,Thursday,41,Male,White American or European American,Shotgun,1,0,0,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Residential home/Neighborhood,Family,Financial difficulties,Unknown,Unknown,MM,43.38682722,-98.84357239
223,234,Greenville,Georgia,US,0,0,10,10,15-09-27,Sunday,21,Male,Black American or African American,Multiple guns,Unknown,Unknown,1,2,Unknown,Unknown,Arrested,Not applicable,No,Entertainment venue,Place of recreation,Social,Financial dispute,Unknown,Unknown,MS,33.02912644,-84.7143335
224,231,Roseburg,Oregon,US,9,10,7,16,15-10-01,Thursday,26,Male,Two or more races,Multiple guns,0,1,5,6,Unknown,Unknown,Deceased,Suicide,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Unknown,Unknown,Yes,MM,43.22205555,-123.3522367
225,238,Inglis,Florida,US,2,3,1,3,15-10-01,Thursday,57,Male,White American or European American,Unknown,Unknown,Unknown,Unknown,2,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Terminated/Denied/Reprimanded,Unknown,Unknown,MS,29.03270634,-82.65919302
226,232,Flagstaff,Arizona,US,1,1,3,4,15-10-09,Friday,18,Male,White American or European American,Handgun,0,0,1,1,Unknown,Unknown,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Unknown,Unknown,Unknown,MS,35.1725658,-111.6585435
227,235,Township of Colerain,Ohio,US,2,2,1,3,15-10-21,Wednesday,21,Male,White American or European American,Handgun,0,0,1,1,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,Unknown,Unknown,MS,39.253268,-84.599655
228,236,Colorado Springs,Colorado,US,3,4,0,3,15-10-31,Saturday,33,Male,White American or European American,Multiple guns,0,1,2,3,Unknown,1,Deceased,Killed,No,Street/Highway,None,General public,Unknown,Unknown,Unknown,MS,38.86730659,-104.7572279
229,237,Oakland,Maine,US,3,4,0,3,15-11-04,Wednesday,42,Male,Unknown,Handgun,0,0,1,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Romantic partner and Family,Unknown,Unknown,Unknown,MS,44.54994725,-69.70782299
230,239,Waycross,Georgia,US,1,1,2,3,15-11-07,Saturday,30,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Residential home/Neighborhood,Place of residency,Romantic partner and Family,Unknown,Yes,Yes,MS,31.21094544,-82.35793452
231,240,Jacksonville,Florida,US,3,4,1,4,15-11-13,Friday,28,Male,Black American or African American,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Deceased,Suicide,No,Residential home/Neighborhood,Place of residency,Family,Domestic dispute,Unknown,Yes,MS,30.33216122,-81.67576993
232,241,Tennessee Colony,Texas,US,6,6,0,6,15-11-15,Sunday,33,Male,White American or European American,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Arrested,Not applicable,No,Park/Wildness (Private campsite),Place of recreation,None,Unknown,Unknown,Unknown,MM,31.8076,-95.8069
233,242,Columbus,Ohio,US,3,4,1,4,15-11-23,Monday,50,Male,White American or European American,Handgun,0,0,1,1,Unknown,Unknown,Deceased,Killed,No,Residential home/Neighborhood,Place of residency,Social,Unknown,Unknown,Unknown,MS,39.98861445,-82.98904135
234,243,Minneapolis,Minnesota,US,0,0,5,5,15-11-23,Monday,24,Male,White American or European American,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arrested,Not applicable,No,Street/Highway (Encampment),None,Racial/Religious group,Race,Unknown,Unknown,MS,44.96358722,-93.26783687
235,244,Colorado Springs,Colorado,US,3,9,9,12,15-11-27,Friday,57,Male,White American or European American,Rifle,0,1,0,1,Unknown,Unknown,Arrested,Not applicable,No,Medical/Care,None,"Government, General public",Unknown,Unknown,Unknown,MS,38.86730659,-104.7572279
236,245,San Bernardino,California,US,14,16,21,35,15-12-02,Wednesday,27.5,Male/Female,Asian American,Multiple guns,0,2,2,4,0,4,Deceased,Killed,No,Medical/Care,Place of recreation,Colleague/Workmate/Business acquaintance,Unknown,Unknown,Unknown,MM,34.13973446,-117.2942444
