OBJECTID,CaseID,City,State,Country,Number_of_Victim_Fatalities,Total_Number_of_Fatalities,Number_of_Victims_Injured,Total_Number_of_Victims,Date,Day_of_Week,Average_Shooter_Age,Shooter_Sex,Shooter_Race,Type_of_Gun_General,Number_of_Shotguns,Number_of_Rifles,Number of Handguns,Total_Number_of_Guns,Number_of_Automatic_Guns,Number_of_Semi_Automatic_Guns,Fate_of_Shooter_at_the_scene,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s-General,Possible Motive - General,History_of_Mental_Illness_General,Military_Experience,Class,lat,log
38,36,Royal Oak,Michigan,US,4,5,5,9,91-11-14,Thursday,31,Male,White American or European American,Rifle,0,1,0,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Yes,MM,42.50840203,-83.15387427
39,37,Olivehurst,California,US,4,4,10,14,92-05-01,Friday,20,Male,White American or European American,Multiple guns,1,1,0,2,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Failure,Yes,No,MM,39.08174985,-121.5549539
40,38,Amarillo,Texas,US,0,0,6,6,92-09-11,Friday,17,Male,Unknown,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Social dispute,Unknown,Unknown,MS,35.18322484,-101.8805688
41,39,Watkins Glen,New York,US,4,5,0,4,92-10-15,Thursday,50,Male,White American or European American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Government,Financial dispute,No,Yes,MM,42.38013875,-76.86724659
42,40,Great Barrington,Massachusetts,US,2,2,4,6,92-12-14,Monday,18,Male,Asian American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Terminated/Denied/Reprimanded,No,Unknown,MS,42.19358268,-73.36216339
43,42,Dearborn,Michigan,US,1,2,2,3,93-05-06,Thursday,45,Male,Unknown,Multiple guns,1,0,1,2,0,0,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Unknown,Unknown,MS,42.31269522,-83.21293244
44,43,Dana Point,California,US,1,1,5,6,93-05-06,Thursday,38,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,Yes,MS,33.47316083,-117.696399
45,41,San Francisco,California,US,8,9,6,14,93-07-01,Thursday,55,Male,White American or European American,Handgun,0,0,3,3,0,3,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Financial dispute,No,Unknown,MM,37.75457839,-122.4424343
46,44,Ogden,Utah,US,0,1,3,3,93-07-08,Tuesday,28,Male,Asian American,Handgun,0,0,1,1,0,1,Deceased,Killed,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,No,Unknown,MS,41.2281367,-111.9675317
47,45,Fayetteville,North Carolina,US,4,4,8,12,93-08-06,Friday,22,Male,White American or European American,Multiple guns,2,1,0,3,0,1,Arrested,Not applicable,No,Restaurant/Cafe,Place of recreation,General public,Multiple motives,No,Yes,MM,35.07997086,-79.03796125
48,46,Sheridan,Wyoming,US,0,1,4,4,93-09-17,Friday,29,Male,White American or European American,Multiple guns,0,1,1,2,0,1,Deceased,Suicide,Yes,Primary school,Place of residency,Students/Classmates/Teacher,Unknown,No,Yes,MS,44.79051074,-106.9599165
49,47,Garden City,New York,US,6,6,19,25,93-12-07,Tuesday,34,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Public transportation,Place of residency,General public,Race,No,Unknown,MM,40.72662266,-73.644712
50,48,Aurora,Colorado,US,4,4,1,5,93-12-14,Tuesday,19,Male,Black American or African American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,No,Restaurant/Cafe,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Unknown,MM,39.69892933,-104.7871863
51,49,Chelsea,Michigan,US,1,1,2,3,93-12-16,Thursday,39,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Secondary school,Place of business/employment,Students/Classmates/Teacher,Terminated/Denied/Reprimanded,Yes,Unknown,MS,42.31319376,-84.01868108
52,50,Union,Kentucky,US,4,4,0,4,94-05-26,Thursday,17,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,Residential home/Neighborhood,Place of residency,Family,Terminated/Denied/Reprimanded,No,Unknown,MM,38.95130818,-84.67066339
53,51,Fairchild Air Force Base,Washington,US,4,5,23,27,94-06-20,Monday,20,Male,White American or European American,Rifle,0,1,0,1,0,1,Deceased,Killed,No,Military facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,Yes,Yes,MM,47.618456,-117.644099
54,52,Wickliffe,Ohio,US,1,1,3,4,94-11-07,Monday,37,Male,White American or European American,Shotgun,1,0,0,1,0,0,Arrested,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,Unknown,MS,41.60713735,-81.46902046
55,168,Brookline,Massachusetts,US,2,2,5,7,94-12-30,Friday,22,Male,White American or European American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,No,Medical/Care,None,General public,Political/Religious ideals,Yes,Unknown,MS,42.32427392,-71.14080012
56,53,Chapel Hill,North Carolina,US,2,2,2,4,95-01-26,Thursday,26,Male,White American or European American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,No,Street/Highway,Place of residency,General public,Mental illness,Yes,Unknown,MS,35.92681467,-79.03850407
57,54,Montclair,New Jersey,US,4,4,1,5,95-03-21,Tuesday,29,Male,White American or European American,Handgun,0,0,1,1,0,1,Escaped,Not applicable,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Financial difficulties,No,Unknown,MM,40.826184,-74.20862
58,55,Corpus Christi,Texas,US,5,6,0,5,95-04-03,Monday,28,Male,Unknown,Handgun,0,0,2,2,0,1,Deceased,Suicide,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Unknown,MM,27.73907518,-97.43073352
59,56,Lynnville,Tennessee,US,2,2,1,3,95-11-15,Wednesday,17,Male,White American or European American,Rifle,0,1,0,1,0,1,Arrested,Not applicable,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown,MS,35.37810374,-87.00610559
60,57,Moses Lake,Washington,US,3,3,1,4,96-02-02,Friday,14,Male,White American or European American,Multiple guns,0,1,2,3,0,1,Arrested,Not applicable,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown,MS,47.12189424,-119.2750699
61,58,Fort Lauderdale,Florida,US,6,7,0,6,96-02-09,Friday,41,Male,Black American or African American,Handgun,0,0,1,1,0,1,Deceased,Suicide,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied/Reprimanded,No,Yes,MM,26.11737018,-80.14865708
62,59,San Diego,California,US,3,3,0,3,96-08-15,Thursday,36,Male,White American or European American,Handgun,0,0,1,1,0,1,Arrested,Not applicable,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Failure,No,Yes,MS,32.86357277,-117.1281628
